t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
-0.7,0,0,0,0,-0.015,0,-0.0018273177,0.042206726,0,0.021103363
-0.69,0,0,0,0,-0.006,0,-0.0011785653,0.042745145,0,0.021372572
-0.68,0,0,0,0,0.018,0,-0.00078289107,0.043073526,0,0.021536763
-0.67,0,0,0,0,0.024,0,2.3184355e-06,0.043725194,0,0.021862597
-0.66,0,0,0,0,-0.014,0,0.0013546792,0.044847557,0,0.022423779
-0.65,0,0,0,0,-0.012,0,0.0030598489,0.046262727,0,0.023131363
-0.64,0,0,0,0,-0.001,0,0.0047607222,0.04767433,0,0.023837165
-0.63,0,0,0,0,0.001,0,0.0061081288,0.048792582,0,0.024396291
-0.62,0,0,0,0,0.009,0,0.006857758,0.049414721,0,0.02470736
-0.61,0,0,0,0,0.022,0,0.0069533739,0.049494075,0,0.024747038
-0.6,0,0,0,0,-0.001,0,0.0065217461,0.049135855,0,0.024567927
-0.59,0,0,0,0,0.01,0,0.0057782637,0.048518817,0,0.024259409
-0.58,0,0,0,0,-0.003,0,0.0049022265,0.047791769,0,0.023895884
-0.57,0,0,0,0,-0.009,0,0.0040217557,0.047061041,0,0.02353052
-0.56,0,0,0,0,-0.001,0,0.0032470769,0.046418113,0,0.023209056
-0.55,0,0,0,0,0.003,0,0.0026116622,0.045890764,0,0.022945382
-0.54,0,0,0,0,0.017,0,0.0021128594,0.045476793,0,0.022738396
-0.53,0,0,0,0,0.04,0,0.0017605575,0.045184407,0,0.022592204
-0.52,0,0,0,0,0.037,0,0.0015637635,0.045021082,0,0.022510541
-0.51,0,0,0,0,0.013,0,0.0014965481,0.044965298,0,0.022482649
-0.5,0,0,0,0,-0.001,0,0.0014983139,0.044966764,0,0.022483382
-0.49,0,0,0,0,-0.026,0,0.0014801711,0.044951707,0,0.022475853
-0.48,0,0,0,0,-0.062,0,0.0013752176,0.044864603,0,0.022432301
-0.47,0,0,0,0,-0.035,0,0.0011884298,0.044709582,0,0.022354791
-0.46,0,0,0,0,-0.005,0,0.00099287343,0.044547284,0,0.022273642
-0.45,0,0,0,0,0,0,0.00092953977,0.044494722,0,0.022247361
-0.44,0,0,0,0,0,0,0.0010998151,0.044636038,0,0.022318019
-0.43,0,0,0,0,0.024,0,0.0014817155,0.044952988,0,0.022476494
-0.42,0,0,0,0,0.04,0,0.0019573517,0.045347732,0,0.022673866
-0.41,0,0,0,0,0.025,0,0.002386824,0.045704164,0,0.022852082
-0.4,0,0,0,0,0.004,0,0.0026381681,0.045912762,0,0.022956381
-0.39,0,0,0,0,-0.015,0,0.0026849291,0.04595157,0,0.022975785
-0.38,0,0,0,0,0.007,0,0.002565388,0.045852359,0,0.02292618
-0.37,0,0,0,0,0.017,0,0.0023267258,0.045654287,0,0.022827143
-0.36,0,0,0,0,-0.023,0,0.0020008013,0.045383793,0,0.022691896
