scope,metric,value,unit
record,sample_rate,100,Hz
record,telemetry_sequence_gap_sum,0,frames
record,fault_samples,0,samples
vision,update_interval_median,0.03,s
vision,update_interval_p95,0.03,s
vision,update_interval_mean,0.0254446,s
vision,mean_update_rate,39.3011,Hz
vision,predict_only_fraction_active,0.494693,fraction
active,duration,48.05,s
active,overspeed_duration,15.36,s
active,overspeed_fraction,0.319667,fraction
active,hold_duration,0.12,s
event_1_post_hold,duration,31.6,s
event_1_post_hold,feedforward_nonzero_fraction,0.841139,fraction
event_1_post_hold,feedforward_rms,0.118198,m/s^2
event_1_post_hold,feedforward_sign_changes_over_20,62,changes
capture,episode_count,22,episodes
capture,total_duration,0.84,s
capture,estimated_abs_velocity_median,15,mm/s
capture,estimated_abs_velocity_p95,39,mm/s
capture,predicted_abs_velocity_max,15,mm/s
capture,estimated_minus_predicted_velocity_abs_median,14,mm/s
capture,estimated_minus_predicted_velocity_abs_p95,40,mm/s
capture,estimated_velocity_over_4mm_s_fraction,0.928571,fraction
capture_entry,count,22,entries
capture_entry,estimated_abs_velocity_median,26,mm/s
capture_entry,estimated_abs_velocity_p95,40.9,mm/s
capture_entry,predicted_abs_velocity_max,4,mm/s
capture_entry,estimated_minus_predicted_velocity_abs_median,27.5,mm/s
capture_entry,estimated_velocity_over_4mm_s_fraction,0.954545,fraction
capture_forecast,horizon,0.12,s
capture_forecast,valid_entry_count,22,entries
capture_forecast,realized_abs_velocity_median,17.5,mm/s
capture_forecast,realized_abs_velocity_p95,50.75,mm/s
capture_forecast,predicted_to_realized_abs_error_median,19,mm/s
capture_forecast,predicted_to_realized_abs_error_p95,46.8,mm/s
capture_forecast,realized_velocity_within_4mm_s_fraction,0,fraction
actuator,best_shaped_to_actual_lag,0.18,s
actuator,tracking_rmse_zero_lag,1.2333,deg
actuator,tracking_rmse_best_lag,0.480058,deg
actuator,raw_to_shaped_abs_error_p95_active,1.15,deg
actuator,slew_saturated_fraction_active,0.285536,fraction
actuator,motor_target_feedback_error_p95_active,9.68,motor_deg
actuator,motor_target_feedback_error_max_active,13.7,motor_deg
actuator,motor_follow_error_over_5deg_fraction_active,0.245786,fraction
event_1,start_time,4.52,s
event_1,initial_position,116,mm
event_1,first_4mm_after_start,4.46,s
event_1,first_crossing_after_start,4.52,s
event_1,first_overspeed_after_start,4.46,s
event_1,first_capture_after_start,12.06,s
event_1,first_hold_after_start,12.22,s
event_1,approach_duration_to_first_4mm,4.46,s
event_1,approach_control_phase_transitions,17,transitions
event_1,approach_feedforward_sign_changes_over_20,1,changes
event_1,approach_desired_accel_sign_changes_over_50,5,changes
event_1,approach_raw_lever_sign_changes_over_0p2deg,9,changes
event_1,approach_slew_saturated_fraction,0.239374,fraction
event_1,approach_reference_position_error_rms,4.3396,mm
event_1,post_first_arrival_position_mean,13.4246,mm
event_1,post_first_arrival_position_rms,18.8355,mm
event_1,post_first_arrival_position_min,-13.4,mm
event_1,post_first_arrival_position_max,64.1,mm
event_1,post_first_arrival_dominant_frequency,0.800915,Hz
event_1,post_first_arrival_fft_amplitude,9.74157,mm
event_1,max_continuous_estimated_settle_time,0.04,s
event_1,overspeed_episode_count,46,episodes
event_1,capture_episode_count,20,episodes
event_1,hold_episode_count,4,episodes
event_1,reference_velocity_sign_changes,61,changes
event_1,desired_accel_sign_changes_over_50,68,changes
event_1,overspeed_fraction,0.342466,fraction
event_1,slew_saturated_fraction,0.283105,fraction
event_1,angle_saturated_fraction,0.0568239,fraction
event_1,shaped_to_actual_best_alignment_lag,0.18,s
event_1,shaped_to_actual_zero_lag_rmse,1.26166,deg
event_1,shaped_to_actual_best_lag_rmse,0.487475,deg
event_2,start_time,48.36,s
event_2,initial_position,107.6,mm
event_2,first_4mm_after_start,4.34,s
event_2,first_crossing_after_start,4.45,s
event_2,first_overspeed_after_start,4.28,s
event_2,first_capture_after_start,4.48,s
event_2,first_hold_after_start,nan,s
event_2,approach_duration_to_first_4mm,4.34,s
event_2,approach_control_phase_transitions,23,transitions
event_2,approach_feedforward_sign_changes_over_20,1,changes
event_2,approach_desired_accel_sign_changes_over_50,7,changes
event_2,approach_raw_lever_sign_changes_over_0p2deg,9,changes
event_2,approach_slew_saturated_fraction,0.28046,fraction
event_2,approach_reference_position_error_rms,4.16139,mm
event_2,post_first_arrival_position_mean,15.6656,mm
event_2,post_first_arrival_position_rms,19.916,mm
event_2,post_first_arrival_position_min,-5.4,mm
event_2,post_first_arrival_position_max,36.2,mm
event_2,post_first_arrival_dominant_frequency,0.717703,Hz
event_2,post_first_arrival_fft_amplitude,11.9505,mm
event_2,max_continuous_estimated_settle_time,0.01,s
event_2,overspeed_episode_count,8,episodes
event_2,capture_episode_count,2,episodes
event_2,hold_episode_count,0,episodes
event_2,reference_velocity_sign_changes,13,changes
event_2,desired_accel_sign_changes_over_50,13,changes
event_2,overspeed_fraction,0.21831,fraction
event_2,slew_saturated_fraction,0.298122,fraction
event_2,angle_saturated_fraction,0.0399061,fraction
event_2,shaped_to_actual_best_alignment_lag,0.17,s
event_2,shaped_to_actual_zero_lag_rmse,1.10346,deg
event_2,shaped_to_actual_best_lag_rmse,0.437836,deg
long_recovery,duration,4.42,s
long_recovery,vision_age_max,3976,ms
long_recovery,largest_estimated_position_jump,145.7,mm/sample
long_recovery,state6_fraction,1,fraction
