t_s,mcu_ms,state,control_phase,phase_name,friction_mode,friction_name,position_mm,velocity_mm_s,reference_position_mm,reference_velocity_mm_s,desired_accel_mm_s2,raw_lever_deg,actual_lever_deg,vision_age_ms,confidence,control_flags
0.000,18404,10,0,hold,3,stopped,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,nan,0,4098
3.940,22344,10,5,edge_recovery,0,motion,118.600,-2.000,0.000,0.000,-220.000,1.150,-0.010,28.0,80,4101
4.020,22424,10,0,hold,3,stopped,118.200,-9.000,0.000,0.000,0.000,-1.340,-0.010,84.0,79,4098
4.040,22444,10,5,edge_recovery,0,motion,118.300,-6.000,0.000,0.000,-220.000,1.150,-0.010,45.0,78,4102
4.080,22484,5,5,edge_recovery,0,motion,118.500,-3.000,0.000,0.000,-220.000,1.150,-0.010,17.0,79,4101
4.310,22714,6,5,edge_recovery,0,motion,120.800,1.000,118.900,-28.000,-220.000,1.130,0.530,84.0,73,4098
4.320,22724,6,0,hold,3,stopped,120.700,-3.000,118.900,-28.000,0.000,-1.370,1.200,94.0,73,4130
4.420,22824,6,5,edge_recovery,0,motion,118.000,-61.000,118.900,-28.000,-220.000,1.240,1.000,36.0,84,4134
4.520,22924,5,5,edge_recovery,0,motion,116.000,-47.000,110.700,-30.000,-220.000,1.230,-0.210,20.0,72,4101
5.140,23544,5,2,track,0,motion,105.700,-53.000,99.000,-30.000,252.000,-2.540,1.250,17.0,57,4129
5.800,24204,5,1,accel,0,motion,65.400,-33.000,61.700,-29.000,-64.000,0.490,-0.460,19.0,68,4129
5.920,24324,5,2,track,0,motion,63.800,-23.000,60.700,-30.000,7.000,-0.080,-0.240,37.0,75,4226
5.980,24384,5,1,accel,0,motion,63.400,-20.000,60.300,-28.000,-60.000,0.480,0.520,24.0,69,4129
6.200,24604,5,2,track,0,motion,61.200,-19.000,58.100,-30.000,14.000,-0.110,0.970,59.0,71,4098
6.220,24624,5,1,accel,0,motion,60.800,-17.000,57.900,-29.000,-60.000,0.500,1.040,26.0,71,4129
6.400,24804,5,2,track,0,motion,56.700,-21.000,53.400,-30.000,19.000,-0.100,0.430,24.0,74,4225
6.520,24924,5,1,accel,0,motion,52.900,-32.000,49.200,-30.000,-11.000,0.200,0.260,24.0,77,4129
6.620,25024,5,2,track,0,motion,49.900,-32.000,46.000,-30.000,32.000,-0.120,-0.030,25.0,78,4257
6.740,25144,5,1,accel,0,motion,47.800,-26.000,44.200,-28.000,-73.000,0.770,0.210,13.0,74,4129
7.240,25644,5,2,track,0,motion,42.200,-20.000,39.000,-30.000,15.000,0.100,1.190,41.0,79,4098
7.300,25704,5,1,accel,0,motion,40.700,-22.000,37.600,-27.000,-59.000,0.740,1.190,23.0,80,4129
7.440,25844,5,2,track,0,motion,37.300,-26.000,32.900,-30.000,37.000,-0.020,0.110,13.0,84,4225
7.480,25884,5,1,accel,0,motion,37.000,-20.000,33.800,-29.000,-60.000,0.780,0.110,42.0,80,4130
7.940,26344,5,2,track,0,motion,30.900,-24.000,27.500,-30.000,41.000,0.020,1.350,17.0,81,4097
8.420,26824,5,1,accel,0,motion,13.100,-30.000,9.800,-26.000,-63.000,1.090,-0.180,18.0,87,4097
8.980,27384,5,4,overspeed,0,motion,4.000,-39.000,0.000,-24.000,350.000,-2.000,1.190,42.0,80,4402
9.300,27704,5,1,accel,0,motion,-10.600,-37.000,-12.500,5.000,114.000,-1.480,-2.220,35.0,88,4130
9.500,27904,5,4,overspeed,0,motion,-2.700,25.000,0.600,27.000,-350.000,2.220,-2.430,19.0,89,4353
10.000,28404,5,1,accel,0,motion,34.900,35.000,36.600,-4.000,-114.000,1.020,1.840,38.0,81,4130
10.260,28664,5,2,track,0,motion,27.200,-35.000,22.300,-30.000,90.000,-0.330,1.290,20.0,83,4097
10.580,28984,5,1,accel,0,motion,13.200,-51.000,7.400,-30.000,107.000,-0.300,0.020,31.0,86,4098
11.360,29764,5,4,overspeed,0,motion,5.000,-27.000,2.000,-30.000,350.000,-2.240,1.620,27.0,82,4353
11.780,30184,5,1,accel,0,motion,-13.400,-39.000,-15.500,4.000,117.000,-1.120,-2.220,30.0,88,4129
12.040,30444,5,4,overspeed,0,motion,-3.800,29.000,0.300,30.000,-350.000,2.000,-1.290,31.0,84,4370
12.560,30964,5,1,accel,0,motion,38.900,33.000,40.400,-6.000,-117.000,1.180,1.820,20.0,82,4129
12.840,31244,5,2,track,0,motion,32.700,-28.000,28.600,-30.000,56.000,-0.120,1.320,52.0,82,4098
13.140,31544,5,1,accel,0,motion,14.800,-65.000,7.500,-30.000,132.000,-0.510,-0.440,14.0,88,4225
13.200,31604,5,2,track,0,motion,13.400,-47.000,8.500,-30.000,22.000,0.400,-0.440,40.0,84,4130
13.220,31624,5,1,accel,0,motion,13.300,-41.000,9.000,-28.000,-65.000,1.110,-0.330,24.0,83,4129
13.700,32104,5,1,accel,1,breakaway,11.400,2.000,10.300,-18.000,0.000,0.880,1.760,30.0,82,6177
13.740,32144,5,1,accel,0,motion,10.600,-6.000,9.000,-20.000,-121.000,1.580,1.670,34.0,82,4130
13.900,32304,5,4,overspeed,0,motion,4.500,-28.000,1.100,-22.000,350.000,-2.240,1.120,25.0,83,4385
14.120,32524,5,1,accel,0,motion,-5.000,-32.000,-6.400,6.000,117.000,-1.580,-1.720,36.0,91,4130
14.160,32564,5,4,overspeed,0,motion,-6.600,-47.000,-9.700,-7.000,350.000,-2.000,-2.310,40.0,88,4402
14.200,32604,5,1,accel,0,motion,-5.500,-30.000,-6.700,6.000,118.000,-1.550,-2.310,18.0,88,4129
14.300,32704,5,4,overspeed,0,motion,-0.700,25.000,-1.900,17.000,-350.000,2.190,-1.910,29.0,90,4353
14.880,33284,5,1,accel,0,motion,41.500,33.000,43.000,-6.000,-116.000,1.140,1.760,25.0,81,4129
15.180,33584,5,2,track,0,motion,35.400,-26.000,31.500,-30.000,48.000,-0.090,1.280,23.0,83,4097
15.720,34124,5,1,accel,0,motion,17.000,-30.000,13.600,-27.000,-63.000,1.040,0.160,26.0,84,4129
16.260,34664,5,2,track,0,motion,14.100,-19.000,11.000,-30.000,12.000,0.450,1.540,43.0,82,4098
16.340,34744,5,1,accel,0,motion,10.800,-33.000,6.400,-30.000,97.000,-0.200,1.250,45.0,81,4130
16.440,34844,5,4,overspeed,0,motion,5.900,-42.000,1.300,-29.000,350.000,-2.000,-0.070,31.0,83,4402
16.580,34984,5,6,capture,2,capture,-0.600,-39.000,-3.000,-1.000,0.000,0.030,-1.560,20.0,90,5153
16.600,35004,5,1,accel,0,motion,-0.600,-33.000,-2.900,4.000,54.000,-0.830,-1.560,15.0,90,4129
16.660,35064,5,6,capture,2,capture,-2.100,-31.000,-3.500,0.000,0.000,0.040,-2.220,25.0,90,5121
16.740,35144,5,0,hold,3,stopped,-0.400,-7.000,-0.500,0.000,0.000,0.010,-1.580,25.0,91,4097
16.780,35184,5,6,capture,2,capture,1.700,7.000,1.300,2.000,0.000,-0.020,-1.580,28.0,90,5121
16.820,35224,5,4,overspeed,0,motion,3.300,11.000,4.000,3.000,-350.000,2.000,-1.580,31.0,88,4402
17.240,35644,5,1,accel,0,motion,25.700,34.000,27.400,-5.000,-114.000,1.300,1.970,38.0,82,4130
17.500,35904,5,2,track,0,motion,19.200,-25.000,15.400,-30.000,42.000,0.150,1.470,34.0,83,4098
17.620,36024,5,1,accel,0,motion,14.500,-33.000,10.800,-29.000,-62.000,1.070,0.510,42.0,81,4130
17.700,36104,5,4,overspeed,0,motion,9.300,-54.000,3.000,-30.000,350.000,-2.000,0.510,44.0,83,4402
17.920,36324,5,6,capture,2,capture,-0.100,-42.000,-2.700,-3.000,0.000,0.030,-0.890,31.0,87,5154
17.960,36364,5,1,accel,0,motion,-1.100,-31.000,-2.500,7.000,33.000,-0.920,-0.890,34.0,89,4130
17.980,36384,5,2,track,0,motion,-1.300,-29.000,-2.400,7.000,-4.000,-0.610,-0.890,28.0,89,4097
