序号,侧别,排针,MCU,当前功能,状态
1,左外,A2,PA2,,空闲
2,左内,A7,PA7,,空闲
3,左外,B0,PB0,SW4 用户按键,已用
4,左内,B1,PB1,SW3 用户按键,已用
5,左外,B2,PB2,左电机 AIN1（方向 GPIO）,已用
6,左内,B3,PB3,左电机 AIN2（方向 GPIO）,已用
7,左外,B4,PB4,右电机 BIN1（方向 GPIO）,已用
8,左内,B5,PB5,右电机 BIN2（方向 GPIO）,已用
9,左外,A8,PA8,UART1 TX → IMU RX,已用
10,左内,A9,PA9,UART1 RX ← IMU TX,已用
11,左外,A10,PA10,UART0 TX（心跳/调试）,已用
12,左内,A11,PA11,UART0 RX（预留）,已用
13,左外,B6,PB6,,空闲
14,左内,B7,PB7,右轮 QEI A 相（TIMG9）,已用
15,左外,B8,PB8,,空闲
16,左内,B9,PB9,右轮 QEI B 相（TIMG9）,已用
17,左外,B10,PB10,左轮 QEI A 相（TIMG8）,已用
18,左内,B11,PB11,左轮 QEI B 相（TIMG8）,已用
19,左外,B12,PB12,UART3 RX ← 蓝牙 TX,已用
20,左内,B13,PB13,UART3 TX → 蓝牙 RX,已用
21,左外,B14,PB14,,空闲
22,左内,B15,PB15,,空闲
23,左外,B16,PB16,,空闲
24,左内,A12,PA12,,空闲
25,左外,A13,PA13,有源蜂鸣器 IN,已用
26,左内,A14,PA14,板载状态 LED,已用
27,左外,A15,PA15,I2C1 SCL → 红外循迹模块,已用
28,左内,A16,PA16,I2C1 SDA ↔ 红外循迹模块,已用
29,左外,A17,PA17,,空闲
30,左内,A18,PA18,BSL 启动采样 / 板载 BSL 按键,保留
31,右外,A31,PA31,SW2 用户按键,已用
32,右内,A30,PA30,SW1 用户按键,已用
33,右外,A29,PA29,,空闲
34,右内,A28,PA28,,空闲
35,右外,A1,PA1,PWMB 右电机 PWM（TIM_A0 CH1）,已用
36,右内,A0,PA0,PWMA 左电机 PWM（TIM_A0 CH0）,已用
37,右外,A27,PA27,,空闲
38,右内,A26,PA26,,空闲
39,右外,B27,PB27,,空闲
40,右内,B26,PB26,,空闲
41,右外,B25,PB25,,空闲
42,右内,A25,PA25,,空闲
43,右外,A24,PA24,UART7 RX ← Emm42 TX,已用
44,右内,A23,PA23,UART7 TX → Emm42 RX,已用
45,右外,B24,PB24,,空闲
46,右内,B23,PB23,,空闲
47,右外,B22,PB22,,空闲
48,右内,B21,PB21,,空闲
49,右外,B20,PB20,,空闲
50,右内,A22,PA22,,空闲
51,右外,A21,PA21,,空闲
52,右内,B19,PB19,,空闲
53,右外,B18,PB18,I2C0 SDA ↔ OLED,已用
54,右内,B17,PB17,I2C0 SCL → OLED,已用
,右侧 ×2,3V3,,逻辑电源 3.3V,电源
,右侧 ×2,5V,,外设电源 5V,电源
,右侧 ×2,GND,,地,电源
